Term,Abbreviations,Meaning,Links,Category,Rarity,Usage Notes,Questions and to-do items,Markdown Links,In Contract?,
Contract Action Team,CAT,,https://www.uaw4811.org/contract-action-team,Contracts and Strikes, Uncommon,,,,,
contract ratification,,,,Contracts and Strikes,  Common,,,,yes,
economic strike,,A strike called during contact negotiations after both sides reach an impasse and are unable to reach an agreement after mediation.,,Contracts and Strikes,Rare,,,,,
fink ,,A strikebreaker.,Fink Definition & Meaning - Merriam-Webster,Contracts and Strikes,Rare,,,[Definition](https://www.merriam-webster.com/dictionary/fink),,
grievance,,"A grievance is a claim by an individual ASE, a group of ASEs, or the UAW, that the University has violated a specific provision of this agreement during the term of this agreement. Grievances are filed with the UCSC labor relations office. They must be filed within thirty calendar days. If the grievance is not resolved, it can be taken to artbitration.
See Article 12 of the ASE contract and Article 11 of the GSR contract.",https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_12-grievance-and-arbitration_2022-2025.pdf,Contracts and Strikes,  Common,,,https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_12-grievance-and-arbitration_2022-2025.pdf,yes,
injunction,,"A ruling by a court whereby one is required to do or to refrain from doing a specified act. In the case of strikes, injunctions can be issued by PERB.",,Contracts and Strikes, Uncommon,,,,,
lockout,,"""A lockout is a temporary withholding or denial of employment initiated by an employer during a labor dispute to gain concessions or resist worker demands."" (Source: https://www.findlaw.com/employment/wages-and-benefits/labor-strike-faqs.html)",,Contracts and Strikes, Uncommon,,,,yes,
National Labor Relations Board,NLRB,Decides ruling regarding unions for private employers.,,Contracts and Strikes,Rare,,,,,
Orange County,OC,A temporary restraining order was issued by the Superior Court of Orange County to break the UAW strike. ,,Contracts and Strikes,Rare,,,,,
pay docking,,Witholding of a worker's pay.,,Contracts and Strikes,  Common,,,,,
pay scales/salary scales/pay steps,,,https://apo.ucsc.edu/docs/scales-crnt.pdf,Contracts and Strikes,  Common,,,https://apo.ucsc.edu/docs/scales-crnt.pdf,,
PERB mediation sessions,,Closed-door discussions between the UC and the union (legally confidentially). ,,Contracts and Strikes, Uncommon,,,,,
powermapping,,"The process before or during a strike of determining who is currently working, what their jobs are, their willingness to strike, and obstacles that they might face. ",https://docs.google.com/document/d/1vGb-CBK099QYF_1UYah2a_ngLeGif1RA2IEybzC9FHU/edit,Contracts and Strikes,  Common,,,https://docs.google.com/document/d/1vGb-CBK099QYF_1UYah2a_ngLeGif1RA2IEybzC9FHU/edit,,
Public Employment Relations Board,PERB,"PERB is a ""quasi-judicial administrative agency charged with administering the collective bargaining statutes."" PERB determines things like whether a strike is legal or illegal.",Public Employment Relations Board (PERB),Contracts and Strikes,  Common,,,https://perb.ca.gov/,yes,
scab,,A strikebreaker.,,Contracts and Strikes,  Common,,,,,
side letters,,,,Contracts and Strikes, Uncommon,,,,yes,
stand-up strike,,A strike format where different groups may be called to strike at different times. This is the format of the 2024 ULP strike.,https://uaw.org/standup/,Contracts and Strikes,  Common,,,https://uaw.org/standup/,,
strike pay,,"Pay made to striking workers by the UAW to help them live while the UC is withholding pay (if the UC is able to identify who is striking, which it has often struggled to do). Receiving strike pay requires a certain amount of participation in picketing and the submission of an attestation form to the union (not to the UC!). ",,Contracts and Strikes,  Common,,,,,
strikebreaker,,A person who works for an employer during a strike. ,,Contracts and Strikes,Rare,,,,,
summer funding,,Funding for grad students that extends during the summer. ,,Contracts and Strikes,  Common,,,,,
temporary restraining order,TRO ,"A ruling issued by a court to prohibit a particular action. In particular, an orange county superior court judge issued a TRO to suppress the 2024 ULP strike.",,Contracts and Strikes, Uncommon,,,,,
timesheets,,The UC has requested that employees submit timesheets that describe when they have not worked and threatened to dock pay for workers that do not submit them. These timesheets are not required by our contract and the union guidance at UCSC has consistently been to ignore them. ,,Contracts and Strikes, Uncommon,,,,,
wage garnishment,,Wage garnishment is when an employer withholds a portion of a paycheck to pay for a debt until the debt is resolved.,,Contracts and Strikes,  Common,,,,,
contested position,,Indicates a position in an election that has two more more candidate.,,Elections, Uncommon,,,,,
election by acclamation,,Means that a candidate in an election is elected by default because they do not have an opponent.,,Elections, Uncommon,,,,,
good standing,,A classification of union members. ,,Elections, Uncommon,,,,,
Simply Voting,,The voting platform used for statewide elections.,,Elections,Rare,,,,,
Biomedical Sciences Building,Biomed,"Building on Science Hill at UCSC. Directly south of Mclaughlin, next to Physical Sciences Building and and Science and Engineering Library.",Biomedical Sciences Building,Geography,Rare,,,[Google Maps](https://maps.app.goo.gl/e5KUERHiLqUXpAyx8),,
Earth & Marine Science,EMS,"Building near the lower part Science Hill on the UCSC campus. Painted white, has super weird layout.",https://maps.app.goo.gl/7EfGo8kuhVaFoS8s8,Geography,Rare,,,[Google Maps](https://maps.app.goo.gl/7EfGo8kuhVaFoS8s8),,
Family Student Housing,FSH,"Housing complex on the westside of the UCSC main campus. Pronounced like ""fish"".",,Geography,,,,,,
Interdisciplinary Sciences Building,ISB,Building that houses the astronomy department.,Interdisciplinary Sciences Building,Geography,Rare,,,[Google Maps](https://maps.app.goo.gl/bX7ZMLySa9rJBgGj7),,
Santa Cruz Museum of Art & History,MAH,,https://g.co/kgs/jB75sVd,Geography,Rare,,,https://www.santacruzmah.org/,,
Science and Engineering Library,S&E,"Library on Science Hill at UCSC, near Physical Sciences building.",Science and Engineering Library,Geography,Rare,,,[Google Maps](https://maps.app.goo.gl/hnJydeSRa5wb9HnQ6),,
Westside Research Park,WRP,UCSC facility near Western Dr. and Natural Brigdes State Park.,UCSC Westside Research Park,Geography, Uncommon,,,[Google Maps](https://maps.app.goo.gl/5difYH9AvGZFKMm28),,
California Public Records Act,CPRA,"A California state law that requires public institutions, such as the UC, to turn over certain types of document upon request.",https://codes.findlaw.com/ca/government-code/gov-sect-7922-535/,Laws and Regulations,Rare,,,,,
Fair Labor Standards Act,FLSAA,,https://www.dol.gov/agencies/whd/flsa,Laws and Regulations,Rare,,,,,
Family and Medical Leave Act,FMLA,,,Laws and Regulations,Rare,,,,,
Family Educational Rights and Privacy Act,FERPA,Law that dictates who info about students' academic performance can and cannot be shared with.,,Laws and Regulations, Uncommon,,,,,
Private Attorney General Act,PEGA,"A California statute that authorizes aggrieved employees to bring actions for civil penalties on behalf of themselves, other employees, and the State of California against their employers for California Labor Code violations. In particular, this bill allows aggrieved employees to bring civil actions to recover penalties, if the Labor and Workforce Development Agency does not do so.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=200320040SB796,Laws and Regulations,Rare,,,,,
California Penal Code Section 626.4,626,"A section of the California Penal Code that allows the UC to exclude any ""disruptive persons"" from UC campuses for up to 14 days.",https://news.ucsc.edu/2024/06/notice-faq.html,Laws and Regulations, Uncommon,,,https://news.ucsc.edu/2024/06/notice-faq.html,,
The Americans with Disabilities Act,ADA,A federal law that protects people against discrimination for disabilities and ensures some workplace accomadations. ,https://www.ada.gov/topics/intro-to-ada/,Laws and Regulations,  Common,,,,,
Weingarten Rights,,Rights of union employees to have union representation at investigatory interviews.,https://supreme.justia.com/cases/federal/us/420/251/,Laws and Regulations,Rare,,,https://supreme.justia.com/cases/federal/us/420/251/,,
ASE campus chair,chair,"The ASE campus chair is the head of the UCSC chapter of the union for the ASE bargaining unit. As of May 2024, the ASE campus chair at UCSC is Rebecca Gross.",LEADERSHIP — UAW 4811,Leadership role,  Common,,Check definition.,LEADERSHIP — UAW 4811,,
ASE statewide chair,,,,Leadership role,  Common,,,,,
department steward,steward,"A member of an academic department that handles communication and organizing of department regarding union stuff. At UCSC, stewardship is a relatively informal position that is generally not elected. There may be multiple stewards for each department.",https://docs.google.com/document/d/1YVzqNCYz3dDfBJG1rMZZxH46DOngQhcaEnkDXD1Gb6o/edit,Leadership role,  Common,,,,,
recording secretary,,"As of May 2024, the recording secretary at UCSC is Jess Fournier. ",LEADERSHIP — UAW 4811,Leadership role, Uncommon,,,LEADERSHIP — UAW 4811,,
region director,,,,Leadership role,Rare,,,,,
by-laws (or bylaws),,By-laws are a collection rules that govern union policies at the local (statewide) level. ,UAW 4811 By-laws: https://drive.google.com/file/d/1Q7pMjjuraVSnrzYn2dT5rr7WsZOqcOD2/view,Meeting Procedures,  Common,,,[UAW 4811 By-laws](https://drive.google.com/file/d/1Q7pMjjuraVSnrzYn2dT5rr7WsZOqcOD2/view),,
direct response,DR,Indicates that somebody will respond to a comment that was just made without waiting for a turn in the stack. Typically requires approval by whoever is organizing the stack.,,Meeting Procedures,  Common,,,,,
friendly amendment,,"An amendment to a motion under debate that is perceived by all parties as an enhancement to the original motion, often only as clarification of intent. The opposite is a hostile amendment. (Source: Wikipedia)",Friendly amendment - Wikipedia,Meeting Procedures, Uncommon,,,Friendly amendment - Wikipedia,,
hostile amendment,,"See ""friendly amendment"".",,Meeting Procedures, Uncommon,,,,,
Robert's rules of order,,"A formal set of rules for how meetings are performed. Anytime you hear people calling for ""motions"", the meeting is probably following Robert's rules.",Summary of the rules: https://docs.google.com/document/d/11WATjjuSjPfFn5mrRfjpgwkfZG9rtQUpfeNbZQ_wvNI/edit?usp=sharing,Meeting Procedures,  Common,,,Summary of the rules: https://docs.google.com/document/d/11WATjjuSjPfFn5mrRfjpgwkfZG9rtQUpfeNbZQ_wvNI/edit?usp=sharing,,
stack,,"A method of keeping track of who is next in line to speak in a meeting. In computer science terminology, this  is a queue, but for some reason we call it a stack. There are two methods for using a stack in a Zoom meeting, either raising hands or typing ""stack"" in the chat. The meeting facilitator will typically tell you which is being used.",,Meeting Procedures,  Common,,,,,
vote whipping,,The process of ensuring that members of a political party (or caucus) votes in line with the party (or caucus).,,Meeting Procedures,Rare,,,,,
Academic Researcher,AR,"Academic researchers at the University of California are comprised of Academic Specialists, Project Scientists, Professional Researchers and Coordinators of Public Programs.","Academic Researchers | UCnet
https://ucnet.universityofcalifornia.edu/resources/employment-policies-contracts/bargaining-units/academic-researchers/contract/",Member Categories,  Common,,,"Academic Researchers | UCnet
https://ucnet.universityofcalifornia.edu/resources/employment-policies-contracts/bargaining-units/academic-researchers/contract/",yes,
Academic Student Employee,ASE,"Academic Student Workers at the UC include graduate students who work as teaching assistants, instructors, readers, and tutors.","https://shr.ucsc.edu/elr/ase-toolkit/, Academic Student Employees (BX)",Member Categories,  Common,,,"https://shr.ucsc.edu/elr/ase-toolkit/, Academic Student Employees (BX)",yes,
BR bargaining unit,BR,The BR Unit includes graduate students at the University who perform research as a service to the University and under the specific direction and control of a faculty member or Principal Investigator.,,Member Categories,Rare,,,,,
BX bargaining unit,BX,The BX Unit consists of Academic Student Employees.,,Member Categories,Rare,,,,,
course assistant,,An academic worker who is not a student. Course assistants are covered by UAW 4811. Includes some recent grads and others community members.,,Member Categories, Uncommon,,,,,
Graduate Student Research Assistant,GSRA,Graduate Student Research Assistant are workers at Lawrence Berkeley National Laboratory. Mentioned in Articl 32 of the 2022-2025 GSR contract. ,,Member Categories,Rare,,,,yes,
graduate student researcher,"GSR, SR","Academic worker position for graduate students who do paid research for the university. Until 2025, GSR's have a separate contract from ASE's, but their contracts will be merged in the next baraining cycle.",,Member Categories,  Common,,,,,
post-doc,PD,"A postgraduate researcher. ""PD"" may also stand for ""police department"" or ""professional development"".",,Member Categories,  Common,,,,,
PX bargaining unit,PX,The PX Unit members are postdoctoral scholars who contribute to the University’s academic community by enhancing the research and educational programs at the University under the mentorship of a faculty member or principal investigator.,,Member Categories,Rare,,,,,
RA bargaining unit,RA,"The RA unit is comprised of academic researchers, which includes positions such as Academic Specialist, Project Scientists, Professional Researchers, and Coordinators of Public Programs.",,Member Categories,Rare,,,,,
teaching assistant,TA,A teaching assistant or education assistant is an individual who assists a professor or teacher with instructional responsibilities. TA's who are appointed to 25% time or more have their tuition and and fees covered by the UC.,,Member Categories,  Common,,,,yes,
12/50 campaign,1250,"A campaign that started at San Diego in 2023(?) to demand that the UC guarantee 12-month funding at 50% apppointment for graduate students. The motivation was that many people were getting appointed at like 48% and underpaid, or were not receiving summer funding.",,Misc.,Rare,,,,,
academic good standing,,,https://advising.ucsc.edu/success/standing.html,Misc., Uncommon,,,,yes?,
"Administration caucus
",AC,,,Misc.,Rare,,What is the administration caucus? ,,,
Affirmative Action,AA,,,Misc., Uncommon,,,,,
agitation and propaganda,AgitProp,Sometimes used as the name of a group responsible for agitation and propaganda (at strikes?).,,Misc.,Rare,,,,,
American Association of University Professors,AAUP,,https://www.aaup.org/,Misc.,Rare,,,https://www.aaup.org/,,
American Civil Liberties Union,ACLU,,,Misc.,Rare,,,,,
Anti-repression Committee,ARC,Run by the National Lawyers Guild? Helps with legal support after protests.,Bay Area Anti-Repression Committee,Misc.,,,,Bay Area Anti-Repression Committee,,
Automated License Plate Recognition,ALPR,A ticketing system TAPS adopted in 2024 to automatically check cars license plates to determine if they are permitted to park on campus.,https://taps.ucsc.edu/parking/virtual-permitting.html,Misc.,Rare,,,,,
"black, indigenous, (and) people of color",BIPOC,,,Misc., Uncommon,,,,,
Canvas,,A course administration website used by UCSC.,,Misc., Uncommon,,,,,
cease and desist letter,,,,Misc.,  Common,,,,,
Coalition of Department Advisors,CODA ,,,Misc.,Rare,,,,,
cost of living adjustment.,COLA ,A strike demand from the 2019-2020 wildcat strike to have the UC raise the wages of grad student workers to match increases to the cost of living.,,Misc.,  Common,,,,,
Council of UC Faculty Associations,CUCFA,"Council of UC Faculty Associations, statewide council made up of representatives from each campus's Faculty Associations (FA). the FAs are a sort of labor association/advocacy group for Senate faculty at the different UCs -- except at UCSC, where i believe senate faculty/their FA is an *actual* union",https://cucfa.org/about/,Misc.,Rare,,,https://cucfa.org/about/,,
Council on American-Islamic Relations,CAIR,Council on American-Islamic Relations,https://ca.cair.com/about-us/,Misc.,Rare,,,https://ca.cair.com/about-us/,,
Department of Defense,DOD or DoD,,,Misc.,Rare,,,,,
description of duties,DoD,"See also ""Department of Defense""",,Misc., Uncommon,,,,,
Division of Labor Standards Enforcement,DLSE,,https://www.dir.ca.gov/dlse/,Misc.,Rare,,,,,
employment good standing,,"In summer 2024, the UC has been sending conditional employment letters based on workers being in ""good standing"" but it is not clear what this term means.",,Misc.,,,,,,
encampment,,,,Misc.,  Common,,,,,
Faculty for Justice in Palestine,FJP,"A group of faculty, lecturers, staff, and graduate students at UCSC. The group works to support Students for Justice in Palestine in their work, collaborate with students on direct actions, protect faculty and graduate students under attack for making space to discuss Palestine in their classrooms, hosting events, and act as liaisons for students experiencing harassment because they are perceived as Arab, Muslim, and/or pro-Palestinian.",UCSC Faculty For Justice in Palestine,Misc.,Rare,,,UCSC Faculty For Justice in Palestine,,
faculty organizing group,FOG ,,,Misc.,Rare,,,,,
folx,,A plural noun used to explicitly signal the inclusion of groups commonly marginalized.,Folx Definition & Meaning - Merriam-Webster,Misc.,Rare,,,Folx Definition & Meaning - Merriam-Webster,,
graduate student instructor,GSI,A GSI is a graduate student who is the primary instructor for a course. ,,Misc.,  Common,,,,yes,
High Rock Security,,"A private secuity agency hired by UCSC (as of May 2024). Private security officers may have the power of arrest and can be licensed to carry firearms, batons, and tear gas. Legally, they must have these licenses on them at all times (it is unclear if they are obligated to present them, though).","https://www.highrocksecurity.com/clients
https://www.bsis.ca.gov/forms_pubs/guard_fact.shtml
https://leginfo.legislature.ca.gov/faces/codes_displayexpandedbranch.xhtml?tocCode=BPC&division=3.&title=&part=&chapter=11.5.&article=",Misc.,Rare,,,"https://www.highrocksecurity.com/clients
https://www.bsis.ca.gov/forms_pubs/guard_fact.shtml
https://leginfo.legislature.ca.gov/faces/codes_displayexpandedbranch.xhtml?tocCode=BPC&division=3.&title=&part=&chapter=11.5.&article=",,
Higher Education Employer-Employee Relations Act,HEERA ,HEERA is a 1979 California law that established collective bargaining for employees of the UC (and other state universities).,https://leginfo.legislature.ca.gov/faces/codes_displayexpandedbranch.xhtml?tocCode=GOV&division=4.&title=1.&part=&chapter=12.&article=,Laws and Regulations, Uncommon,,,https://leginfo.legislature.ca.gov/faces/codes_displayexpandedbranch.xhtml?tocCode=GOV&division=4.&title=1.&part=&chapter=12.&article=,yes,
hiring unit / department,,,,Misc.,  Common,,,,,
Immigrant Legal Resource Center,ILRC,,,Misc.,Rare,,,,,
Jewish Community Relations Council,JCRC,,,Misc.,Rare,,,,,
Jews Against White Supremacy,JAWS,student organization,,Misc., Uncommon,,,,,
Labor and Workforce Development Agency,LWDA,,,Misc.,Rare,,,,,
Labor Commissioner,,,https://www.dir.ca.gov/dlse/,Misc.,Rare,,,https://www.dir.ca.gov/dlse/,,
labor organizanizing,,The work of building collective worker power.,,Misc.,  Common,,,,,
Lawrence Berkeley National Laboratory,"LBL, LBNL, Berkeley Lab",Not to be confused with Lawrence Livermore National Laboratory.,,UC Campus,Rare,,lawrence berkeley laboratory?,,,
Lawrence Livermore National Laboratory,LLNL,Not to be confused with Lawrence Berkeley National Laboratory.,,Misc., Uncommon,,,,,
monthly membership meeting,MMM,A monthly meeting open to all union members. MMM's can include votes that make important decisions. MMM's are required by the (statewide) by-laws.,,Misc.,  Common,,When do these happen? How are we notified?,,,
MSCI,,An American finance company. The investment advisor for the UC?,,Misc.,Rare,,,,,
National Lawyers Guild,NLG,Provides jail support for arrested protesters. ,Anti-Repression Committee | National Lawyers Guild SF,Misc.,Rare,,,Anti-Repression Committee | National Lawyers Guild SF,,
Nonresident Supplemental Tuition,NRST,Additional tution fees charged to students from outside CA. PhD students who have advanced to candidacy are not charged the NRST for three years. See Article 11 of ASE contract and article 10 of the GSR contract. ,https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_11-fee-remission_2022-2025.pdf,Misc., Uncommon,,,https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_11-fee-remission_2022-2025.pdf,,
Palestine Justice Coalition,PJC,A community group in Santa Cruz.,https://rcnv.org/programs/palestine-justice-coalition-3/,Misc.,Rare,,,https://rcnv.org/programs/palestine-justice-coalition-3/,,
Pass/No Pass,P/NP,"A grading scheme for academic courses. If grades are withheld, then",,Misc., Uncommon,,,,,
people of color / person of color,POC,,,Misc.,  Common,,,,,
pre-arbitration conference,,,,Misc.,Rare,,,,,
Professional Degree Supplemental Tuition ,PDST,,https://academicaffairs.ucsc.edu/program-development/process-maps/new-pdst-degree-pgrm.html,Misc.,Rare,,,,,
Reform UC-UAW slate,,A collection of candidates in the 2024 election for UAW 4811 to replace the current leadership. They lost.,,Misc.,Rare,,,,,
rent burden,,Rent-burden is defined as spending over 30% of income on rent and utilities. Severely rent-burder is defined as spending over 50%.,,Misc., Uncommon,,,,,
request for information,RFI,,,Misc., Uncommon,,,,,
Researchers Against War,RAW,Researchers fighting against militarism in research and for a free Palestine.,https://linktr.ee/researchers_against_war,Misc.,Rare,,,,,
Service Employees International Union,SEIU,The union for the Santa Cruz Metro drivers.,MEMORANDUM OF UNDERSTANDING SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 521 SANTA CRUZ METROPOLITAN TRANSIT DISTRICT,Misc., Uncommon,,,MEMORANDUM OF UNDERSTANDING SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 521 SANTA CRUZ METROPOLITAN TRANSIT DISTRICT,,
Signal,,A secure messaging platform used for internal union communications.,,Misc.,  Common,,,,,
step 2 grievance,,"If a worker cannot resolve a complaint against the UC through informal discussions, a step-2 grievance can be filed per the terms of the GSR and ASE contracts.",,Misc., Uncommon,,,,yes,
strike authorization vote,SAV,A vote by all union members to authorize a strike. Requires 2/3rds “yes” vote before a strike can be called.,,Misc.,  Common,,,,,
Student Experience of Teaching Surveys,SETS,Anonymous evaluations of instructors and teaching assistants submitted by students at the end of each quarter.,https://its.ucsc.edu/sets/index.html,Misc.,  Common,,,,,
Student Union Assembly,SUA,,,Misc.,Rare,,,,,
Students for Justice in Palestine,SJP ,Undergraduate(?) organization.,,Misc., Uncommon,,,,,
teach-in,,,,Misc.,  Common,,,,,
temperature check,,A poll in a meeting that is intended to be non-binding. Useful for guiding decisions. May be done by a Google form or Zoom poll.,,Misc.,  Common,,,,,
"U.S. Department of
Housing and Urban Development
",HUD,"HUD provides data sets about housing prices, which can be useful for determining rent burden on a community.",https://www.huduser.gov/portal/pdrdatas_landing.html,Misc.,Rare,,,,,
U.S. Department of Labor ,DOL,,,Misc.,Rare,,,,,
United Auto Workers,UAW,"The UAW is the union that represents graduate students, post docs, and non-faculty researchers in the UC. The full name of the union is ""International Union, United Automobile, Aerospace and Agricultural Implement Workers of America"", but this is only used in formal communications.",https://uaw.org/,Misc.,  Common,,,,,
UAW 2865,,A previous local union that merged with UAW 5810 to form UAW 4811.,https://uaw.org/,Misc.,Rare,,,,,
UAW 5810,,A previous local union that merged with UAW 2865 to form UAW 4811,,Misc.,Rare,,,,,
